n; comparisons; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; duration;
7200; 13107161; 12841978; 12941566; 12939197; 13065678; 12912947; 12884615; 12894994; 12950014; 12895951; 13099962; 12834779; 12934367; 12931998; 13058479; 12905748; 12877416; 12887795; 12942815; 12888752; 0,043060; 0,041931; 0,026793; 0,031266; 0,049908; 0,031312; 0,037480; 0,044194; 0,039742; 0,033709; 
7300; 13345134; 13399339; 13407831; 13310927; 13365856; 13199439; 13441470; 13708616; 13314947; 13185287; 13337835; 13392040; 13400532; 13303628; 13358557; 13192140; 13434171; 13701317; 13307648; 13177988; 0,045027; 0,043031; 0,039329; 0,031260; 0,037705; 0,031257; 0,046876; 0,034521; 0,040720; 0,042433; 
7400; 13696176; 13689652; 13454930; 13748906; 13806669; 13850248; 13576282; 13728998; 13723365; 13635199; 13688777; 13682253; 13447531; 13741507; 13799270; 13842849; 13568883; 13721599; 13715966; 13627800; 0,045002; 0,045071; 0,036018; 0,031236; 0,046868; 0,040521; 0,041915; 0,041910; 0,039667; 0,033837; 
7500; 14056073; 14168518; 14317396; 14014432; 14021920; 14160405; 14009064; 13938073; 14116166; 14116537; 14048574; 14161019; 14309897; 14006933; 14014421; 14152906; 14001565; 13930574; 14108667; 14109038; 0,046223; 0,045988; 0,041808; 0,042100; 0,039819; 0,033942; 0,042123; 0,042177; 0,041967; 0,039756; 
7600; 14305721; 14580965; 14491493; 14334342; 14553547; 14430923; 14506426; 14435080; 14425805; 14277454; 14298122; 14573366; 14483894; 14326743; 14545948; 14423324; 14498827; 14427481; 14418206; 14269855; 0,048016; 0,045253; 0,042124; 0,042228; 0,041955; 0,041803; 0,042079; 0,042105; 0,042110; 0,039775; 
7700; 14547854; 14746791; 14819748; 15044134; 14785337; 14802035; 14882768; 14610639; 14900219; 14810292; 14540155; 14739092; 14812049; 15036435; 14777638; 14794336; 14875069; 14602940; 14892520; 14802593; 0,048063; 0,048007; 0,040683; 0,031247; 0,053481; 0,045987; 0,040889; 0,041951; 0,041941; 0,042020; 
7800; 15282539; 15364869; 15293390; 15209563; 15228275; 15114302; 15327115; 15246343; 15339665; 15297756; 15274740; 15357070; 15285591; 15201764; 15220476; 15106503; 15319316; 15238544; 15331866; 15289957; 0,052050; 0,051993; 0,043177; 0,041863; 0,042049; 0,042056; 0,051477; 0,039752; 0,040883; 0,048766; 
7900; 15572470; 15519054; 15472134; 15555051; 15940369; 15684572; 15437250; 15587560; 15622976; 15718511; 15564571; 15511155; 15464235; 15547152; 15932470; 15676673; 15429351; 15579661; 15615077; 15710612; 0,050998; 0,051064; 0,031325; 0,046872; 0,044739; 0,044335; 0,042052; 0,048521; 0,045682; 0,042068; 
8000; 16061453; 16147309; 15981523; 15754096; 15930667; 15883296; 16287307; 15915210; 16098721; 16111836; 16053454; 16139310; 15973524; 15746097; 15922668; 15875297; 16279308; 15907211; 16090722; 16103837; 0,054039; 0,045321; 0,046951; 0,046880; 0,040108; 0,051974; 0,040598; 0,048942; 0,046557; 0,045723; 
8100; 16591352; 16669271; 16477591; 16374799; 16552747; 16564786; 16339136; 16364061; 16127061; 16578514; 16583253; 16661172; 16469492; 16366700; 16544648; 16556687; 16331037; 16355962; 16118962; 16570415; 0,056070; 0,047308; 0,046933; 0,046873; 0,050977; 0,050114; 0,044199; 0,052310; 0,041992; 0,054019; 
8200; 16823279; 16799279; 16906820; 16865014; 16955226; 16834527; 17014394; 16788118; 16940260; 17007522; 16815080; 16791080; 16898621; 16856815; 16947027; 16826328; 17006195; 16779919; 16932061; 16999323; 0,056037; 0,053242; 0,045375; 0,053008; 0,051012; 0,040768; 0,050931; 0,050821; 0,041882; 0,052174; 
8300; 17233886; 17232338; 17105582; 17191665; 17480340; 17084976; 17358381; 17176380; 17100920; 17224898; 17225587; 17224039; 17097283; 17183366; 17472041; 17076677; 17350082; 17168081; 17092621; 17216599; 0,062100; 0,047771; 0,046870; 0,053714; 0,052613; 0,042004; 0,052349; 0,052415; 0,051489; 0,051484; 
8400; 17714552; 17803542; 17568235; 17577032; 17504881; 17675528; 17477656; 17904348; 17660761; 17655136; 17706153; 17795143; 17559836; 17568633; 17496482; 17667129; 17469257; 17895949; 17652362; 17646737; 0,060396; 0,052250; 0,046947; 0,054829; 0,052715; 0,052054; 0,054628; 0,046472; 0,056287; 0,045893; 
8500; 18111802; 18191996; 18188192; 18011028; 17947144; 18064289; 17973427; 18084236; 18042925; 18063225; 18103303; 18183497; 18179693; 18002529; 17938645; 18055790; 17964928; 18075737; 18034426; 18054726; 0,061017; 0,042122; 0,046926; 0,059844; 0,052316; 0,052424; 0,052331; 0,052374; 0,054172; 0,051704; 
